answer,clue
TRACER,'an instrument used to make tracings'
SEMIFLUIDITY,'a property midway between a solid and a liquid'
COCO,'tall palm tree bearing coconuts as fruits
DRAINBOARD,'a board beside a kitchen sink and inclined to drain into the sink'
IODINATION,'the substitution or addition of iodine atoms in organic compounds'
UROCELE,'extravasation of urine into the scrotal sac'
FRIVOLITY,'the trait of being frivolous
INEPTITUDE,'unskillfulness resulting from a lack of training'
TRUCKER,'someone who drives a truck as an occupation'
PUNGENCY,'a strong odor or taste property
SALE,'a particular instance of selling
LEMANDERIN,'hybrid between mandarin orange and lemon having very acid fruit with orange peel'
PYRIDOXAL,'a B vitamin that is essential for metabolism of amino acids and starch'
DONATION,'a voluntary gift (as of money or service or ideas) made to some worthwhile cause'
CUPULE,'a sucker on the feet of certain flies'
FATHOMETER,'depth finder for determining depth of water or a submerged object by means of ultrasound waves'
FANJET,'an airplane propelled by a fanjet engine'
DISCOMYCETE,'any fungus that is a member of the subclass Discomycetes'
DOBSON,'large brown aquatic larva of the dobsonfly
RAPPORTEUR,'a recorder appointed by a committee to prepare reports of the meetings'
PRECIPITANT,'an agent that causes a precipitate to form'
ANVIL,'a heavy block of iron or steel on which hot metals are shaped by hammering'
SUMMERSET,'an acrobatic feat in which the feet roll over the head (either forward or backward) and return'
REFECTORY,'a communal dining-hall (usually in a monastery)'
INSURGENCE,'an organized rebellion aimed at overthrowing a constituted government through the use of subversion and armed conflict'
RECIPROCITY,'mutual exchange of commercial or other privileges'
UNDERWING,'moth having dull forewings and brightly colored hind wings'
POUTER,'someone with a habitually sullen or gloomy expression'
VOCALISATION,'the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
PRAGMATIST,'an adherent of philosophical pragmatism'
CREMATORIUM,'a mortuary where corpses are cremated'
PHENOTYPE,'what an organism looks like as a consequence of the interaction of its genotype and the environment'
PLACEBO,'an innocuous or inert medication
VIRAGO,'a large strong and aggressive woman'
WEEKENDER,'someone who vacations on a weekend'
IGNITION,'the act of setting something on fire'
CELEBRATION,'a joyful occasion for special festivities to mark some happy event'
LACKEY,'a person who tries to please someone in order to gain a personal advantage'
MANGANESE,'a hard brittle grey polyvalent metallic element that resembles iron but is not magnetic
CONVERT,'a person who has been converted to another religious or political belief'
FEMTOMETER,'a metric unit of length equal to one quadrillionth of a meter'
CUSHAW,'globose or ovoid squash with striped grey and green warty rind'
PYTHONESS,'a witch with powers of divination'
PRATE,'idle or foolish and irrelevant talk'
CABALISM,'adherence to some extreme traditional theological concept or interpretation'
DRAWLER,'someone who speaks with a drawl'
EXBIBYTE,'a unit of information equal to 1024 pebibytes or 2^60 bytes'
DEVIOUSNESS,'the quality of being deceitful and underhanded'
BEATING,'the act of overcoming or outdoing'
SYLLABUS,'an integrated course of academic studies
SPIKENARD,'an aromatic ointment used in antiquity'
PRIZE,'something given for victory or superiority in a contest or competition or for winning a lottery
POOD,'a Russian unit of weight equal to approximately 36 pounds'
CLINKER,'a hard brick used as a paving stone'
WEEK,'any period of seven consecutive days
CANAVANINE,'an amino acid found in the jack bean'
LARDER,'a small storeroom for storing foods or wines'
FEALTY,'the loyalty that citizens owe to their country (or subjects to their sovereign)'
PAVLOVA,'a dessert consisting of a meringue base or cup filled with fruit and whipped cream'
BUNSEN,'a gas burner used in laboratories
ZYGOTENE,'the second stage of the prophase of meiosis'
PROVIDENCE,'the guardianship and control exercised by a deity
ECHINODERM,'marine invertebrates with tube feet and five-part radially symmetrical bodies'
ROSEBAY,'late-spring-blooming rhododendron of eastern North America having rosy to pink-purple flowers'
ANTIVENENE,'an antitoxin that counteracts the effects of venom from the bite of a snake or insect or other animal'
ROAN,'a horse having a brownish coat thickly sprinkled with white or gray'
POORHOUSE,'an establishment maintained at public expense in order to provide housing for the poor and homeless'
USURY,'an exorbitant or unlawful rate of interest'
HYPOTHALAMUS,'a basal part of the diencephalon governing autonomic nervous system'
PROSE,'ordinary writing as distinguished from verse'
CHEMOTAXIS,'movement by a cell or organism in reaction to a chemical stimulus'
GARGOYLISM,'hereditary disease (autosomal recessive) consisting of an error is mucopolysaccharide metabolism
VERTICALNESS,'position at right angles to the horizon'
LYE,'a strong solution of sodium or potassium hydroxide'
IMMORTAL,'a person (such as an author) of enduring fame
PISTIL,'the female ovule-bearing part of a flower composed of ovary and style and stigma'
TOWROPE,'(nautical) a rope used in towing'
COSMID,'(genetics) a large vector that is made from a bacteriophage and used to clone genes or gene fragments'
GERARDIA,'any plant of the genus Gerardia'
CACTUS,'any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines'
SAVORING,'taking a small amount into the mouth to test its quality
MOTMOT,'tropical American bird resembling a blue jay and having greenish and bluish plumage'
FREELANCE,'a writer or artist who sells services to different employers without a long-term contract with any of them'
FRENZY,'state of violent mental agitation'
MISCONDUCT,'activity that transgresses moral or civil law
FOLDER,'a small book usually having a paper cover'
DISBURSEMENT,'the act of spending or disbursing money'
MOHAIR,'fabric made with yarn made from the silky hair of the Angora goat'
WEIGHER,'an official who weighs and records the weight'
REFUTER,'a debater who refutes or disproves by offering contrary evidence or argument'
SUBMITTER,'someone who yields to the will of another person or force'
PETROLOGY,'the branch of geology that studies rocks: their origin and formation and mineral composition and classification'
CYCLICITY,'the quality of recurring at regular intervals'
AMNESIAC,'a person suffering from amnesia'
PANCARDITIS,'inflammation of the entire heart (the epicardium and the myocardium and the endocardium)'
COELOSTAT,'optical device used to follow the path of a celestial body and reflect its light into a telescope
BIOTITE,'dark brown to black mica found in igneous and metamorphic rock'
VAMPIRE,'(folklore) a corpse that rises at night to drink the blood of the living'
RELIEVO,'sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background'
MOMOT,'tropical American bird resembling a blue jay and having greenish and bluish plumage'
PREJUDICE,'a partiality that prevents objective consideration of an issue or situation'
SUEDE,'leather with a napped surface'
VOUSSOIR,'wedge-shaped stone building block used in constructing an arch or vault'
BUMPER,'a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage'
MASTER,'an artist of consummate skill
AZOTE,'an obsolete name for nitrogen'
CARRIAGEWAY,'one of the two sides of a motorway where traffic travels in one direction only usually in two or three lanes'
LINGUINE,'pasta in long slender flat strips'
DOGWOOD,'a tree of shrub of the genus Cornus often having showy bracts resembling flowers'
LANDING,'an intermediate platform in a staircase'
PERCUSSOR,'(medicine) a small hammer with a rubber head used in percussive examinations of the chest and in testing reflexes'
REFINISHER,'a skilled worker who is employed to restore or refinish buildings or antique furniture'
BLOGGER,'a person who keeps and updates a blog'
SILICOSIS,'a lung disease caused by inhaling particles of silica or quartz or slate'
SHALE,'a sedimentary rock formed by the deposition of successive layers of clay'
BEWILDERMENT,'confusion resulting from failure to understand'
DERBY,'a felt hat that is round and hard with a narrow brim'
QUANTIC,'a homogeneous polynomial having at least two variables'
ETHICIAN,'a philosopher who specializes in ethics'
PYROXENE,'any of a group of crystalline silicate mineral common in igneous and metamorphic rocks'
PINNACE,'a boat for communication between ship and shore'
HEDGEFUND,'a flexible investment company for a small number of large investors (usually the minimum investment is $1 million)
BERGENIA,'any plant of the genus Bergenia
PAISA,'a fractional monetary unit in Bangladesh and India and Nepal and Pakistan'
SERICULTURE,'raising silkworms in order to obtain raw silk'
GREENHORN,'an awkward and inexperienced youth'
ACTING,'the performance of a part or role in a drama'
REDUCING,'any process in which electrons are added to an atom or ion (as by removing oxygen or adding hydrogen)
SCAVENGER,'a chemical agent that is added to a chemical mixture to counteract the effects of impurities'
PALLIATION,'to act in such a way as to cause an offense to seem less serious'
MILLIWATT,'a unit of power equal to one thousandth of a watt'
FARROWING,'the production of a litter of pigs'
PACHISI,'an ancient board game resembling backgammon
TIRESOMENESS,'dullness owing to length or slowness'
PICKUP,'a light truck with an open body and low sides and a tailboard'
NARCISSISM,'an exceptional interest in and admiration for yourself
CYANAMIDE,'a weak soluble dibasic acid (the parent acid of cyanamide salts)'
LEPIDOBOTRYS,'African tree often classified in other families
CONDOM,'contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse'
MISO,'a thick paste made from fermented soybeans and barley or rice malt
POLYOSE,'any of a class of carbohydrates whose molecules contain chains of monosaccharide molecules'
SIREN,'a warning signal that is a loud wailing sound'
DIGITALIN,'a powerful cardiac stimulant obtained from foxglove'
AFFILIATE,'a subordinate or subsidiary associate
JAMBERRY,'annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes'
LARI,'the basic unit of money in Georgia'
TABORET,'a low stool in the shape of a drum'
DOTAGE,'mental infirmity as a consequence of old age
MAGNIFICENCE,'splendid or imposing in size or appearance
DOWNER,'a drug that reduces excitability and calms a person'
COLLEGIAN,'a student (or former student) at a college or university'
RAILWAY,'a line of track providing a runway for wheels
CABIN,'small room on a ship or boat where people sleep'
UNDERBODICE,'a short sleeveless undergarment for women'
MOLLUSCUM,'any skin disease characterized by soft pulpy nodules'
NADIR,'an extreme state of adversity
GYNOBASE,'the enlarged receptacle in which the pistil is borne'
BOOKEND,'a support placed at the end of a row of books to keep them upright (on a shelf or table)'
CYTOLOGY,'the branch of biology that studies the structure and function of cells'
SLINGING,'throwing with a wide motion (as if with a sling)'
OPERAND,'a quantity upon which a mathematical operation is performed'
LADLE,'a spoon-shaped vessel with a long handle
TEA,'a beverage made by steeping tea leaves in water
LEMON,'yellow oval fruit with juicy acidic flesh'
EYEDNESS,'the property of favoring one eye over the other (as in taking aim)'
TOLERATION,'a disposition to tolerate or accept people or situations
COMRADERY,'the quality of affording easy familiarity and sociability'
MEZEREUM,'the dried bark of the shrub mezereon'
NAVEL,'a scar where the umbilical cord was attached
COOP,'a farm building for housing poultry'
BOOKLOVER,'someone who loves (and usually collects) books'
EFFUSIVENESS,'a friendly open trait of a talkative person'
PONDEROSITY,'the property of being large in mass'
WHISKEY,'a liquor made from fermented mash of grain'
SQUATNESS,'the property of being short and broad'
POLITICO,'a person active in party politics'
SCIENTIST,'a person with advanced knowledge of one or more sciences'
CANTONMENT,'temporary living quarters specially built by the army for soldiers
PLAYMAKER,'a player in a team sport who leads attacks or maneuvers in such a way that a teammate can score'
AGRAPHIA,'a loss of the ability to write or to express thoughts in writing because of a brain lesion'
AMATUNGULU,'very large closely branched South African shrub having forked bright green spines and shiny leaves'
NANOCEPHALY,'an abnormally small head and underdeveloped brain'
DOXY,'a woman who cohabits with an important man'
SOLFERINO,the year a battle was fought at Solferino'
UNDERBODY,'the soft belly or underside of an animal\'s body'
FLATMATE,'an associate who shares an apartment with you'
SPECULATION,'a message expressing an opinion based on incomplete evidence'
PERTINENCE,'relevance by virtue of being applicable to the matter at hand'
MISCELLANEA,'a collection containing a variety of sorts of things
BOUNTY,'the property of copious abundance'
BIBLIOTHEC,'a professional person trained in library science and engaged in library services'
LIED,'a German art song of the 19th century for voice and piano'
TENPENCE,'a decimal coin worth ten pennies'
GLAZIER,'someone who cuts flat glass to size'
VISCOSE,'a rayon fabric made from viscose (cellulose xanthate) fibers'
PERAMBULATOR,'a small vehicle with four wheels in which a baby or child is pushed around'
CEDI,'the basic unit of money in Ghana'
NEIGH,'the characteristic sounds made by a horse'
CYPRINODONT,'any member of the family Cyprinodontidae'
SARGASSO,'brown algae with rounded bladders forming dense floating masses in tropical Atlantic waters as in the Sargasso Sea'
TELEOST,'a bony fish of the subclass Teleostei'
GREAVE,'armor plate that protects legs below the knee'
PETAL,'part of the perianth that is usually brightly colored'
ACQUAINTANCE,'personal knowledge or information about someone or something'
COMPENDIUM,'a publication containing a variety of works'
SUPERTITLE,'translation of the words of a foreign opera (or choral work) projected on a screen above the stage'
TOPMAST,'the mast next above a lower mast and topmost in a fore-and-aft rig'
UTTERANCE,'the use of uttered sounds for auditory communication'
PANNIKIN,'a small pan or cup (usually of tin)'
AGERASIA,'youthful appearance in an old person'
SPADEWORK,'dull or routine preliminary work preparing for an undertaking'
HOBBIT,'an imaginary being similar to a person but smaller and with hairy feet
SPASTIC,'a person suffering from spastic paralysis'
CARDINALITY,'(mathematics) the number of elements in a set or group (considered as a property of that grouping)'
MONGER,'someone who purchases and maintains an inventory of goods to be sold'
BUNNY,'a young waitress in a nightclub whose costume includes the tail and ears of a rabbit'
RALLY,'a large gathering of people intended to arouse enthusiasm'
ANTIQUARIAN,'an expert or collector of antiquities'
CASTER,'a worker who casts molten metal into finished products'
ALGAE,'primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves'
NONFEASANCE,'a failure to act when under an obligation to do so
CALLUS,'bony tissue formed during the healing of a fractured bone'
TREE,'a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown
LIPOID,'an oily organic compound insoluble in water but soluble in organic solvents
TREKKER,'a traveler who makes a long arduous journey (as hiking through mountainous country)'
CRAZE,'an interest followed with exaggerated zeal
HAMPER,'a basket usually with a cover'
CHEROOT,'a cigar with both ends cut flat'
RIBAVIRIN,'an inhaled antiviral agent (trade name Virazole) that may be used to treat serious virus infections'
UROPYGIUM,'posterior part of a bird\'s body from which the tail feathers grow'
PAGER,'an electronic device that generates a series of beeps when the person carrying it is being paged'
LIMIT,'the greatest possible degree of something
TERCENTENARY,'the 300th anniversary (or the celebration of it)'
MUTENESS,'a refusal to speak when expected
SUBJECTIVISM,'the quality of being subjective'
NORMAL,'something regarded as a normative example
CONFORMISM,'orthodoxy in thoughts and belief'
TURBINAL,'any of the scrolled spongy bones of the nasal passages in man and other vertebrates'
METIER,'an asset of special worth or utility
ESPIONAGE,'the systematic use of spies to get military or political secrets'
KERATOIRITIS,'inflammation of the cornea and the iris of the eye'
PSYCHOLOGIST,'a scientist trained in psychology'
BROADBILL,'tropical American heron related to night herons'
MURRE,'black-and-white diving bird of northern seas'
LATHEE,'club consisting of a heavy stick (often bamboo) bound with iron
CELERY,'stalks eaten raw or cooked or used as seasoning'
PECTORALIS,'either of two large muscles of the chest'
MILLIONAIRE,'a person whose material wealth is valued at more than a million dollars'
TACKINESS,'the property of being cohesive and sticky'
FELLAH,'an agricultural laborer in Arab countries'
MONOPLANE,'an airplane with a single wing'
CALUMNIATION,'a false accusation of an offense or a malicious misrepresentation of someone\'s words or actions'
NEKTON,'the aggregate of actively swimming animals in a body of water ranging from microscopic organisms to whales'
ACCOUCHEMENT,'the parturition process in human beings
PERMAFROST,'ground that is permanently frozen'
PROSPECT,'the possibility of future success
CURRAWONG,'bluish black fruit-eating bird with a bell-like call'
RECTIFIER,'electrical device that transforms alternating into direct current'
ARCADE,'a covered passageway with shops and stalls on either side'
DISLODGEMENT,'forced removal from a position of advantage'
BURRAWONG,'large attractive palmlike evergreen cycad of New South Wales'
PENNONCELLE,'a small pennant borne on a lance'
CUTAWAY,'a man\'s coat cut diagonally from the waist to the back of the knees'
YAWL,'a sailing vessel with two masts
CHAMBERMAID,'a maid who is employed to clean and care for bedrooms (now primarily in hotels)'
WIENER,'a smooth-textured sausage of minced beef or pork usually smoked
GYMNASIUM,'athletic facility equipped for sports or physical training'
HUFFING,'an act of forcible exhalation'
TOUCHER,'a person who causes or allows a part of the body to come in contact with someone or something'
CAMASH,'any of several plants of the genus Camassia
GERANIUM,'any of numerous plants of the family Geraniaceae'
PLYERS,'a gripping hand tool with two hinged arms and (usually) serrated jaws'
ROUND,'a charge of ammunition for a single shot'
ATTACK,'(military) an offensive against an enemy (using weapons)
COINCIDENCE,'an event that might have been arranged although it was really accidental'
SCAUP,'diving ducks of North America having a bluish-grey bill'
COALFACE,'the part of a coal seam that is being cut'
BLITHENESS,'a feeling of spontaneous good spirits
SHITTIM,'shrubby thorny deciduous tree of southeastern United States with white flowers and small black drupaceous fruit'
MONASTERY,'the residence of a religious community'
THANATOPSIS,'an essay expressing a view on the subject of death'
DOUBLE,'a base hit on which the batter stops safely at second base
SPILE,'a plug used to close a hole in a barrel or flask'
OXFORD,'a low shoe laced over the instep'
CONNOTATION,'what you must know in order to determine the reference of an expression'
PINCER,'a hand tool for holding consisting of a compound lever for grasping'
PANDEMONIUM,'a state of extreme confusion and disorder'
PHYLLODE,'an expanded petiole taking on the function of a leaf blade'
SAIGA,'goat-like antelope of central Eurasia having a stubby nose like a proboscis'
BONIFACE,'the owner or manager of an inn'
HOUSEMAN,'an advanced student or graduate in medicine gaining supervised practical experience (`houseman\' is a British term)'
METRONYMIC,'a name derived from the name of your mother or a maternal ancestor'
MALWARE,designed to break into a system'
BIGOS,'a Polish stew of cabbage and meat'
SILKINESS,'the smooth feel of silk fabric'
FANWORT,'common aquatic plant of eastern North America having floating and submerged leaves and white yellow-spotted flowers'
PARAQUET,'any of numerous small slender long-tailed parrots'
STEED,'(literary) a spirited horse for state of war'
OCTOGENARIAN,'someone whose age is in the eighties'
FAUBOURG,'a New Orleans district lying outside the original city limits
THYRSOPTERIS,'a terrestrial tree fern of South America'
COFFEEBERRY,'evergreen shrub of western United States bearing small red or black fruits'
WAXINESS,'the quality of being made of wax or covered with wax'
BEREAVED,'a person who has suffered the death of someone they loved
PAPIST,a Roman Catholic who was a strong advocate of the papacy'
FOETOR,'a distinctive odor that is offensively unpleasant'
NOOSE,'a trap for birds or small mammals
HUMANITIES,'studies intended to provide general knowledge and intellectual skills (rather than occupational or professional skills)
PUSSYCAT,'informal terms referring to a domestic cat'
SHADBUSH,'any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit'
KINA,'the basic unit of money in Papua New Guinea'
FIZGIG,'a firework that fizzes as it moves'
ALLEYWAY,'a narrow street with walls on both sides'
AERODROME,'an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo'
GENERATION,'all the people living at the same time or of approximately the same age'
GREAVES,'the residue that remains after animal fat has been rendered'
EXFOLIATION,'the peeling off in flakes or scales of bark or dead skin
SHALLOT,'aggregate bulb of the multiplier onion'
ATTESTER,'someone who affirms or vouches for the correctness or truth or genuineness of something'
TEMPO,'(music) the speed at which a composition is to be played'
ANAPHORA,'repetition of a word or phrase at the beginning of successive clauses'
VISCOUNTY,'the domain controlled by a viscount or viscountess'
HAEMATOMA,'a localized swelling filled with blood'
HOMOSPORY,'the development of a single kind of asexual spores'
PILLAR,'a fundamental principle or practice
CONSOMME,'clear soup usually of beef or veal or chicken'
KABBALA,'an esoteric or occult matter resembling the Kabbalah that is traditionally secret'
MAMILLA,'the small projection of a mammary gland'
MASTOPEXY,'plastic surgery to lift or reshape the breasts'
SKATEBOARD,'a board with wheels that is ridden in a standing or crouching position and propelled by foot'
ACROPHONY,'naming a letter of the alphabet by using a word whose initial sound is the sound represented by that letter'
RELATEDNESS,'a particular manner of connectedness
GLOSSARIST,'a scholiast who writes glosses or glossaries'
SALVATION,'(theology) the act of delivering from sin or saving from evil'
IGUANODON,'massive herbivorous bipedal dinosaur with a long heavy tail
AXOLOTL,'larval salamander of mountain lakes of Mexico that usually lives without metamorphosing'
BILE,'a digestive juice secreted by the liver and stored in the gallbladder
KETAMINE,'a general anesthetic and tranquilizer (not a barbiturate) that is administered intravenously or intramuscularly
ALLAMANDA,'a plant of the genus Allamanda having large showy funnel-shaped flowers in terminal cymes'
ALBITE,'a widely distributed feldspar that forms rocks'
MAJOLICA,'highly decorated earthenware with a glaze of tin oxide'
ASSENT,'agreement with a statement or proposal to do something
REDWOOD,'the soft reddish wood of either of two species of sequoia trees'
INVITEE,'a visitor to whom hospitality is extended'
GUIDEPOST,'a rule or principle that provides guidance to appropriate behavior'
HOBGOBLIN,'an object of dread or apprehension
RECTITUDE,'righteousness as a consequence of being honorable and honest'
CHEMICAL,'material produced by or used in a reaction involving changes in atoms or molecules'
OPIUM,'an addictive narcotic extracted from seed capsules of the opium poppy'
NOMINATOR,'someone who proposes a candidate for appointment or election'
UPSILON,'the 20th letter of the Greek alphabet'
THAWING,'the process whereby heat changes something from a solid to a liquid
PROSAICNESS,'commonplaceness as a consequence of being humdrum and not exciting'
RUGA,'(anatomy) a fold or wrinkle or crease
BIOHAZARD,'any bacterium or virus or toxin that could be used in biological warfare'
INDAPAMIDE,'diuretic (trade name Lozal) used in the treatment of hypertension'
LASAGNA,'very wide flat strips of pasta'
ROWLOCK,'a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing'
POROUSNESS,'the property of being porous
DROPLINE,'a headline with the top line flush left and succeeding lines indented to the right'
LEPRECHAUN,'a mischievous elf in Irish folklore'
ANNOTATOR,'a commentator who writes notes to a text'
CAUSATION,'the act of causing something to happen'
INDICATION,'something that serves to indicate or suggest
OSTEOMA,'a slow growing benign tumor of consisting of bone tissue
ACATHEXIA,'an inability to retain bodily secretions'
ORGASM,'the moment of most intense pleasure in sexual intercourse'
KARYOKINESIS,'organic process consisting of the division of the nucleus of a cell during mitosis or meiosis'
LEGALITY,'lawfulness by virtue of conformity to a legal statute'
VIOSTEROL,'a fat-soluble vitamin that prevents rickets'
MENINX,'a membrane (one of 3) that envelops the brain and spinal cord'
LIMNER,'a painter or drawer of portraits'
RHEUMATOLOGY,'the branch of medicine dealing with the study and treatment of pathologies of the muscles or tendons or joints'
IDYLL,'a musical composition that evokes rural life'
CEREMENT,'burial garment in which a corpse is wrapped'
STIFFENER,'material used for stiffening something'
TOWLINE,'(nautical) a rope used in towing'
ABNORMALCY,'an abnormal physical condition resulting from defective genes or developmental deficiencies'
TWENTIETH,'position 20 in a countable series of things'
LITHURESIS,'passing small stones with the urine'
PROGENITOR,'an ancestor in the direct line'
VISCIDNESS,'the property of being cohesive and sticky'
PANSINUSITIS,'inflammation of all of the paranasal sinuses'
INFUSORIAN,'any member of the subclass Infusoria'
NAILHEAD,'flattened boss on the end of nail opposite to the point'
ISOPLETH,'a line drawn on a map connecting points having the same numerical value of some variable'
DADDY,'an informal term for a father
BOMBARDIER,'a noncommissioned officer in the British artillery'
ORRIS,'German iris having large white flowers with lavender-tinged falls and a fragrant rhizome'
YIELD,'production of a certain amount'
AMIDOPYRINE,'a white crystalline substance used as an analgesic and antipyretic'
REVISAL,'the act of rewriting something'
CALPACK,'a high-crowned black cap (usually made of felt or sheepskin) worn by men in Turkey and Iran and the Caucasus'
CROUPIER,'someone who collects and pays bets at a gaming table'
LOOK,'the feelings expressed on a person\'s face
OASIS,'a shelter serving as a place of safety or sanctuary'
TESTIERE,'medieval plate armor to protect a horse\'s head'
RADIOTHORIUM,'radioactive isotope of thorium with mass number 228'
PATIENCE,'good-natured tolerance of delay or incompetence'
COLONIZER,'someone who helps to found a colony'
TASTEFULNESS,'elegance indicated by good taste'
CANALICULUS,'a small canal or duct as in some bones and parts of plants'
NEUTROPENIA,'leukopenia in which the decrease is primarily in number of neutrophils (the chief phagocytic leukocyte)'
FREEDMAN,'a person who has been freed from slavery'
FLEXIBLENESS,'the property of being flexible
SHOEFUL,'the amount that a shoe will hold
DEPICTING,'a representation by picture or portraiture'
VINYL,'a univalent chemical radical derived from ethylene'
SOLO,'any activity that is performed alone without assistance'
DRAFTEE,'someone who is drafted into military service'
COTTONWOOD,'American basswood of the Allegheny region'
VIRICIDE,'an agent (physical or chemical) that inactivates or destroys viruses'
GLYCOPROTEIN,'a conjugated protein having a carbohydrate component'
LAYMAN,'someone who is not a clergyman or a professional person'
RUBBING,'effort expended in moving one object over another with pressure'
SCAFFOLD,'a platform from which criminals are executed (hanged or beheaded)'
MADEMOISELLE,'small silvery drumfish often mistaken for white perch
NABOB,'a governor in India during the Mogul empire'
DIAGNOSING,'identifying the nature or cause of some phenomenon'
TARANTELLA,'a lively whirling Italian dance for two persons'
BOULDER,'a large smooth mass of rock detached from its place of origin'
VOLVA,'cuplike structure around the base of the stalk of certain fungi'
LINGAM,'the Hindu phallic symbol of Siva'
TOOLBOX,'a box or chest or cabinet for holding hand tools'
LOTUSLAND,'an idyllic realm of contentment and self-indulgence'
EGOTISM,'an exaggerated opinion of your own importance'
SATORI,'(Zen Buddhism) a state of sudden spiritual enlightenment'
COURTYARD,'an area wholly or partly surrounded by walls or buildings
BICARBONATE,'a salt of carbonic acid (containing the anion HCO3) in which one hydrogen atom has been replaced
ALLEGEMENT,'statements affirming or denying certain matters of fact that you are prepared to prove'
CHARTIST,'a stock market analyst who tries to predict market trends from graphs of recent prices of securities'
SHAKING,'the act of causing something to move up and down (or back and forth) with quick movements'
LOOM,'a textile machine for weaving yarn into a textile'
AUTOIMMUNITY,'production of antibodies against the tissues of your own body
HARANGUER,'a public speaker who delivers a loud or forceful or angry speech'
ARMISTICE,'a state of peace agreed to between opponents so they can discuss peace terms'
IDEAL,'the idea of something that is perfect
CAPRIMULGID,'mainly crepuscular or nocturnal nonpasserine birds with mottled greyish-brown plumage and large eyes
MACROCYTOSIS,'the presence of macrocytes in the blood'
BOA,'a long thin fluffy scarf of feathers or fur'
VANDYKE,'a short pointed beard (named after the artist Anthony Vandyke)'
RATIO,'the relative magnitudes of two quantities (usually expressed as a quotient)'
PILLAGE,'goods or money obtained illegally'
HEPTAD,'the cardinal number that is the sum of six and one'
FLAVIVIRUS,'animal viruses belonging to the family Flaviviridae'
DRIFTING,'aimless wandering from place to place'
ARGUMENT,'a fact or assertion offered as evidence that something is true
LOVE,'a strong positive emotion of regard and affection
QUOTER,'a communicator (speaker or writer) who uses quotations'
STAGE,'any distinct time period in a sequence of events
LEUCOTHOE,'any plant of the genus Leucothoe
FLORESCENCE,'the time and process of budding and unfolding of blossoms'
MEDUSA,'one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate
POWDERER,'someone who applies or scatters powder'
DISBARMENT,'the act of expelling a lawyer from the practice of law'
TOPOGRAPHY,'the configuration of a surface and the relations among its man-made and natural features'
OXYGENATION,'the process of providing or combining or treating with oxygen
MINION,'a servile or fawning dependant'
TOFU,'cheeselike food made of curdled soybean milk'
RESET,'device for resetting instruments or controls'
BIOGEOGRAPHY,'dealing with the geographical distribution of animals and plants'
KRAIT,'brightly colored venomous but nonaggressive snake of southeastern Asia and Malay peninsula'
DEWBERRY,'blackberry-like fruits of any of several trailing blackberry bushes'
GRIOT,'a storyteller in West Africa
REORDERING,'a rearrangement in a different order'
DESERT,'arid land with little or no vegetation'
SURGERY,'a room where a doctor or dentist can be consulted
CHILLY,'very hot and finely tapering pepper of special pungency'
MOOCH,'someone who mooches or cadges (tries to get something free)'
BEAT,'a regular route for a sentry or policeman
ASCENDANT,'position or state of being dominant or in control
PATERNALISM,'the attitude (of a person or a government) that subordinates should be controlled in a fatherly way for their own good'
CELECOXIB,'a Cox-2 inhibitor (trade name Celebrex) that relieves pain and inflammation without harming the digestive tract'
REPUBLICAN,'an advocate of a republic (usually in opposition to a monarchy)'
HAIRWEAVING,'the act of interweaving a hairpiece with your own hair'
RISKINESS,'a state of danger involving risk'
HEDGEHOG,'relatively large rodents with sharp erectile bristles mingled with the fur'
QUADRATIC,'a polynomial of the second degree'
TOLAZAMIDE,'a drug (trade name Tolinase) used in treating stable adult-onset diabetes mellitus'
VASCULITIS,'inflammation of a blood vessel'
ELDER,'a person who is older than you are'
EOSIN,'a red fluorescent dye resulting from the action of bromine on fluorescein
FIGUREHEAD,'figure on the bow of some sailing vessels'
PARADE,'a ceremonial procession including people marching'
GRANITE,'plutonic igneous rock having visibly crystalline texture
CANASTA,'a form of rummy using two decks of cards and four jokers
HARDINESS,'the property of being strong and healthy in constitution'
PARSEC,'a unit of astronomical length based on the distance from Earth at which stellar parallax is 1 second of arc
SILVERVINE,'ornamental vine of eastern Asia having yellow edible fruit and leaves with silver-white markings'
GUNRUNNING,'the smuggling of guns and ammunition into a country secretly and illegally'
INDIGENCE,'a state of extreme poverty or destitution
ORIEL,'a projecting bay window corbeled or cantilevered out from a wall'
VARIX,'abnormally enlarged or twisted blood vessel or lymphatic vessel'
AMBYSTOMID,'small to moderate-sized terrestrial or semiaquatic New World salamander'
BEHOLDER,'a person who becomes aware (of things or events) through the senses'
NARROW,'a narrow strait connecting two bodies of water'
SCOUTING,'exploring in order to gain information
